id,date,VV,crpname_eg,lat,lon
,20231016,-10.83044959,Wheat,23.36021374,75.21748997
,20231016,-11.82035282,Wheat,23.40278478,75.18682027
,20231016,-7.193781579,Wheat,23.35200453,75.29360682
,20231016,-12.60920356,Wheat,23.34251111,75.29017331
,20231016,-14.22089734,Wheat,23.3305295,75.28419812
,20231016,-12.1938827,Wheat,23.3702378,75.24503383
,20231016,-10.76422326,Wheat,23.37206603,75.22754524
,20231016,-8.198422391,Wheat,23.38039563,75.21625034
,20231016,-10.48685388,Wheat,23.39891874,75.19395483
,20231016,-12.63558744,Wheat,23.45697623,75.28043464
,20231016,-11.49984985,Wheat,23.47205691,75.28250366
,20231016,-10.88312482,Wheat,23.52216829,75.27090108
,20231016,-11.51839562,Wheat,23.52233328,75.27093675
,20231016,-9.991117841,Wheat,23.52233328,75.27063353
,20231016,-8.708207757,Wheat,23.52223963,75.27061124
,20231016,-8.708207757,Wheat,23.52227085,75.27062462
,20231016,-8.708207757,Wheat,23.52226193,75.27063799
,20231016,-8.708207757,Wheat,23.52223518,75.27067813
,20231016,-19.63871292,Wheat,23.35455068,75.26959902
